,ticker,Price,5yearincrease,5yearscore,3yearincrease,3yearscore,1yearincrease,1yearscore,6monthincrease,6monthscore,3monthincrease,3monthscore,Score
217,HAS,99.12999725341797,0.18335921243734354,0.20892494929006084,0.12150693447145011,0.16430020283975658,0.02195873457131925,0.2231237322515213,0.06317030807158708,0.5720081135902637,0.12328608785742734,0.7971602434077079,0.3931034482758621
218,HCA,245.3300018310547,2.1204527252667935,0.8377281947261663,0.8300015388544821,0.6795131845841784,0.46553172506541496,0.9066937119675457,-0.005915926475128175,0.38133874239350907,0.026442439519147376,0.46247464503042596,0.653549695740365
219,PEAK,35.70000076293945,0.19158884692495404,0.2150101419878296,0.19758475016835653,0.22718052738336714,0.1927831740371171,0.5557809330628803,-0.009983377610689903,0.36511156186612576,0.05030888496707453,0.5598377281947262,0.3845841784989858
220,HSIC,74.55000305175781,0.20524004755875325,0.2210953346855984,0.21424702787199656,0.24137931034482757,0.08927528334883594,0.35091277890466527,-0.024725265950863662,0.33671399594320484,-0.04078741789958806,0.2535496957403651,0.2807302231237322
221,HSY,199.63999938964844,0.8973578889330711,0.5578093306288032,0.8522917206415543,0.6977687626774848,0.3400456780436385,0.7748478701825557,0.1284833828331855,0.7464503042596349,0.10818765558417498,0.7484787018255578,0.7050709939148072
222,HES,91.2300033569336,0.580561355293441,0.4056795131845842,0.7598380225386501,0.6369168356997972,0.5027179168623446,0.9249492900608519,0.21656228771557573,0.8782961460446248,0.022299479390417876,0.45030425963488846,0.6592292089249493
223,HPE,16.739999771118164,0.26491553183467476,0.23732251521298176,0.17309034576874693,0.2028397565922921,0.36541594278949896,0.8032454361054766,0.1940085038904742,0.8620689655172414,0.1372282246905887,0.8438133874239351,0.5898580121703854
224,HLT,142.2100067138672,1.4732175080672554,0.740365111561866,0.9751389821370442,0.742393509127789,0.3068370438585022,0.7342799188640974,0.15420832538411222,0.8052738336713996,0.009799083042461465,0.4158215010141988,0.6876267748478702
225,HOLX,70.41999816894531,0.778282850565394,0.5010141987829615,0.6338747253373618,0.5557809330628803,-0.07244468035629836,0.11967545638945234,-0.018810067399543606,0.35294117647058826,0.0037057367911219607,0.3935091277890466,0.38458417849898585
226,HD,359.69000244140625,1.6566955023482124,0.7586206896551724,1.0568994823861195,0.7829614604462475,0.28898053458531425,0.7160243407707911,0.10111430358478302,0.693711967545639,0.06329077610077039,0.6085192697768762,0.7119675456389453
227,HON,210.72999572753906,0.8646897029045513,0.5496957403651116,0.5065054930766029,0.45841784989858014,0.026799201454458688,0.23732251521298176,-0.09456908673258357,0.18052738336713997,-0.022497476863909016,0.3042596348884381,0.34604462474645026
228,HRL,49.150001525878906,0.3566106030054088,0.27180527383367137,0.13379476945588076,0.17647058823529413,0.08618787902494818,0.3387423935091278,0.051112131953287454,0.5273833671399594,0.1602927482930221,0.8762677484787018,0.43813387423935096
229,HST,17.350000381469727,-0.04774966875257192,0.11156186612576065,-0.010268128814901134,0.09330628803245436,0.18510928788215453,0.5415821501014199,0.0905091482003908,0.6592292089249493,0.06900806351341848,0.6267748478701826,0.40649087221095337
230,HWM,33.83000183105469,0.5875177230821502,0.4158215010141988,0.6764123547796945,0.5821501014198783,0.25668654291148263,0.665314401622718,0.04639653309760017,0.513184584178499,0.07910690333040105,0.667342799188641,0.5687626774847871
231,HPQ,36.599998474121094,1.462987841165603,0.7342799188640974,0.7239754716577691,0.6146044624746451,0.44321757071179,0.8864097363083164,0.3165467438333289,0.9391480730223124,0.38217519285614365,0.997971602434077,0.8344827586206897
232,HUM,377.8399963378906,0.8341747395043235,0.5294117647058824,0.29833004811274333,0.32251521298174446,-0.08866379455973017,0.10141987829614604,-0.18516285013770095,0.05476673427991886,-0.10185648780537349,0.1075050709939148,0.2231237322515213
233,HBAN,17.110000610351562,0.31514222208604115,0.25963488843813387,0.28068870135038426,0.2981744421906694,0.1791867912100018,0.5294117647058824,0.24436368075284087,0.9026369168356997,0.08565992143805379,0.6957403651115618,0.5371196754563894
234,HII,193.67999267578125,-0.005851630251405782,0.12778904665314403,-0.017451311518961732,0.08924949290060852,0.16052485699628138,0.4969574036511156,-0.041994388732542354,0.281947261663286,-0.06871187412148427,0.16430020283975658,0.23204868154158215
235,IEX,216.10000610351562,1.3812672848872247,0.7058823529411765,0.5677598073478201,0.5111561866125761,0.10520128600541234,0.39148073022312374,-0.044692985766715876,0.27180527383367137,0.04867277344012644,0.5557809330628803,0.48722109533468566
236,IDXX,519.1300048828125,3.3160127215778408,0.9330628803245437,1.6365161044938028,0.9168356997971603,0.045705427302031865,0.2616632860040568,-0.23996020289588804,0.024340770791075054,-0.16688597870273458,0.05070993914807302,0.43732251521298177
237,INFO,119.16999816894531,2.122085509186655,0.8397565922920893,1.3184823858214387,0.8661257606490872,0.34382045285119367,0.7768762677484787,0.03132838616686162,0.4787018255578094,-0.001173408704326584,0.37322515212981744,0.6669371196754563
238,ITW,242.22999572753906,0.9634432222970024,0.5760649087221096,0.8258083897693078,0.6754563894523327,0.1883922560542013,0.5476673427991886,0.06441968594936265,0.5801217038539553,0.12780518253214623,0.8154158215010142,0.6389452332657201
239,ILMN,384.3599853515625,1.3935731782837162,0.7119675456389453,0.23967102236499094,0.2636916835699797,-0.050658260708325575,0.13995943204868155,-0.2099811024603936,0.036511156186612576,-0.05129098224204531,0.2028397565922921,0.2709939148073022
240,INCY,74.77999877929688,-0.3637369220115273,0.04462474645030426,-0.049447050720588415,0.08113590263691683,-0.2036208992106624,0.034482758620689655,-0.04884258246165096,0.257606490872211,0.16443471438598234,0.8904665314401623,0.2616632860040568
241,INTC,53.619998931884766,0.4662291326043857,0.3387423935091278,0.10625123956014892,0.15212981744421905,-0.14153058408842478,0.06896551724137931,-0.04181558596982138,0.28600405679513186,0.026023740031219766,0.460446247464503,0.2612576064908722
242,ICE,125.80999755859375,1.2087429701678079,0.6450304259634889,0.6808283249610452,0.5862068965517241,0.11415160820639625,0.41379310344827586,0.045193941080691635,0.5070993914807302,-0.01978970334347574,0.3103448275862069,0.49249492900608516
243,IBM,131.5800018310547,-0.17491345574234785,0.07707910750507099,0.12638252696608032,0.17038539553752535,0.04544384639496557,0.25963488843813387,-0.021869927211025653,0.3407707910750507,-0.02221740695208596,0.3062880324543611,0.23083164300202838
